,cast,title,type,director,country,date_added,description,averageRating,numVotes
0,"4Minute, B1A4, BtoB, ELSIE, EXID, EXO, Got7, INFINITE, KARA, Shinee, Sistar, VIXX, Nine Muses, BTS, Secret, Topp Dogg",2015 Dream Concert,Movie,Unknown,South Korea,"April 28, 2017","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",6.1,20
1,"50 Cent, Ryan Phillippe, Bruce Willis, Rory Markham, Jenna Dewan, Brett Granstaff, Randy Couture, Susie Abromeit, Ron Turner, James Remar",Set Up,Movie,Mike Gunther,United States,"January 10, 2020","A diamond heist goes horribly wrong, and the group of friends who sought to make a fortune must instead fight for their very survival.",5.833333333333333,137
2,A.R. Rahman,One Heart: The A.R. Rahman Concert Film,Movie,Unknown,India,"November 1, 2017","In this concert film, Indian musical maestro A.R. Rahman performs 15 of his most popular songs and reveals himself through interviews and clips.",8.7,234
3,"Aadhi, Tapsee Pannu, Ritika Singh, Vennela Kishore, Sapthagiri",Neevevaro,Movie,Hari Nath,India,"February 15, 2019","When a blind chef’s girlfriend goes missing, his unnerving search for her leads him to find there's more to her disappearance than what meets the eye.",6.8,610
4,"Aamina Sheikh, Sanam Saeed, Adnan Malik, Mohammad Ahmad, Beo Rana Zafar, Faris Khalid, Hira Hussain, Mikaal Zulfiqar",Cake,Movie,Asim Abbasi,"United Kingdom, Pakistan","May 15, 2019","When their aging father’s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface.",6.805882352941176,40503
5,"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",PK,Movie,Rajkumar Hirani,India,"September 6, 2018",Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,8.1,158970
6,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",3 Idiots,Movie,Rajkumar Hirani,India,"August 1, 2019","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",8.4,336068
7,"Aamir Khan, Karisma Kapoor, Suresh Oberoi, Johnny Lever, Navneet Nishan, Veeru Krishnan, Kunal Khemu, Pramod Moutho, Mohnish Bahl",Raja Hindustani,Movie,Dharmesh Darshan,India,"May 1, 2017","When a poor taxi driver falls in love with a wealthy young woman, he must stand up to her family and contend with his own insecurities.",6.2,6901
8,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Shernaz Patel, Sheeba Chaddha",Talaash,Movie,Reema Kagti,India,"December 15, 2019","Set in the jumbled landscape of Mumbai, this mystery drama centers on a police inspector who's trying to cope with the collapse of his marriage.",7.1,38811
9,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Suhasini Mulay, Ahmed Khan",Dil Chahta Hai,Movie,Farhan Akhtar,India,"December 15, 2019","Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them – until they each fall in love.",8.1,65861
